Gene_set	Z_score(n-LEGO)	P_value(n-LEGO)	Z_score(e-LEGO)	P_value(e-LEGO)	gsSize	gsSize_net	intSize	intSize_net	overlapSize	InterestingGeneListID
259	-0.221460	0.587637	-0.633976	0.737078	77	71	170	151	1	1
260	0.081953	0.467342	0.399156	0.344889	33	30	170	151	1	1
261	-0.317189	0.624461	-0.791700	0.786054	58	48	170	151	0	1
262	-0.285327	0.612311	-0.818429	0.793816	29	25	170	151	0	1
263	-0.290801	0.614407	-0.793892	0.786696	19	17	170	151	0	1
264	-0.242902	0.595965	-1.302763	0.907184	40	35	170	151	1	1
265	-0.168507	0.566910	-0.370732	0.644600	26	22	170	151	1	1
266	-0.226560	0.589621	-1.424164	0.928418	14	13	170	151	0	1
267	-0.290382	0.614247	0.545678	0.292644	15	15	170	151	0	1
268	-0.380596	0.648268	-1.308077	0.908164	40	40	170	151	0	1
269	0.030334	0.487900	-2.245406	1.000000	16	14	170	151	1	1
270	-0.325946	0.627780	-1.331287	0.912385	33	28	170	151	0	1
271	-0.336407	0.631731	-1.194876	0.886186	34	29	170	151	0	1
272	2.454195	0.007060	-0.565949	0.714367	17	13	170	151	1	1
273	-0.275090	0.608384	-2.167632	1.000000	16	13	170	151	0	1
274	-0.443676	0.671395	-0.961090	0.832524	24	18	170	151	0	1
275	-0.331047	0.629708	-1.449512	0.932576	16	12	170	151	0	1
276	-0.195056	0.577328	-0.617419	0.731634	11	10	170	151	0	1
277	-0.423440	0.664041	-0.807175	0.790567	64	53	170	151	0	1
278	-0.280955	0.610635	-0.907907	0.818633	41	36	170	151	0	1
279	-0.256352	0.601166	-1.206941	0.888644	15	15	170	151	0	1
280	-0.240224	0.594927	-1.170192	0.881066	10	9	170	151	0	1
281	-0.346091	0.635378	-0.612971	0.730163	23	21	170	151	0	1
282	-0.258299	0.601918	-0.521817	0.699161	13	11	170	151	0	1
283	-0.392519	0.652685	-2.067957	1.000000	41	31	170	151	0	1
284	-0.367980	0.643574	-0.789291	0.785347	70	59	170	151	1	1
285	-0.425377	0.664748	-0.774463	0.780964	72	59	170	151	1	1
286	-0.355106	0.638761	-0.899262	0.816314	51	43	170	151	0	1
287	-0.268032	0.605669	-1.423100	0.928241	22	21	170	151	0	1
288	6.715953	0.000000	4.075187	0.000023	44	30	170	151	4	1
289	-0.837226	0.799180	-1.860928	0.993441	88	81	170	151	0	1
290	-0.470074	0.680889	-1.849380	0.991741	59	51	170	151	0	1
291	-0.437180	0.669041	-1.843198	0.990835	29	26	170	151	0	1
292	-0.395365	0.653735	-1.436770	0.930496	36	34	170	151	0	1
293	-0.464672	0.678956	4.865680	0.000001	36	32	170	151	0	1
294	-0.831593	0.797581	-1.695976	0.969681	128	95	170	151	0	1
295	-0.552759	0.709860	-2.479994	1.000000	48	41	170	151	0	1
296	-0.361103	0.641006	-2.533982	1.000000	24	21	170	151	0	1
297	-0.304723	0.619721	-0.825941	0.795969	69	63	170	151	1	1
298	-0.287118	0.612997	3.809561	0.000070	35	28	170	151	0	1
299	-0.410494	0.659304	-0.157631	0.562628	44	41	170	151	0	1
300	-0.344850	0.634911	2.101728	0.017789	23	21	170	151	0	1
301	-0.314576	0.623469	4.781439	0.000001	28	23	170	151	0	1
302	-0.230617	0.591198	1.504725	0.066197	14	11	170	151	0	1
303	-0.460268	0.677376	-0.461739	0.677904	267	227	170	151	3	1
304	-0.367013	0.643213	-0.692555	0.755887	87	81	170	151	2	1
305	-0.349405	0.636622	0.248402	0.401912	178	150	170	151	3	1
306	1.300811	0.096662	-0.352647	0.637839	267	214	170	151	9	1
307	-0.538701	0.705020	-1.153426	0.877519	190	163	170	151	4	1
308	-0.402030	0.656193	-0.039533	0.515767	76	66	170	151	0	1
309	-0.555939	0.710949	-0.876494	0.810127	272	220	170	151	5	1
310	1.126005	0.130082	5.616641	0.000000	128	103	170	151	3	1
311	0.575918	0.282335	0.991665	0.160680	114	94	170	151	2	1
312	1.051339	0.146552	2.767000	0.002829	69	49	170	151	3	1
313	-0.413462	0.660392	-1.861051	0.993459	138	118	170	151	2	1
314	-0.316971	0.624378	-1.138071	0.874219	38	32	170	151	0	1
315	-0.405106	0.657324	-1.378805	0.920752	35	29	170	151	0	1
316	-0.614695	0.730734	-0.985483	0.838682	121	99	170	151	0	1
317	-0.555502	0.710800	-1.298562	0.906406	183	151	170	151	1	1
318	-0.481792	0.685067	-0.619660	0.732375	78	66	170	151	0	1
319	-0.338753	0.632616	-1.016415	0.846299	52	47	170	151	1	1
320	-0.396795	0.654263	-1.170966	0.881229	88	75	170	151	0	1
